normalized_rule,support,confidence,lift,support_min,support_max,confidence_min,confidence_max,lift_min,lift_max,algorithm,rule_str,context_n,support_count,appears_in,n_algos,metric_spread,is_consistent,context
"{burden_20_to_35pct, bureau_debt_low} -> {cluster_3_high_exposure}",0.08557072883187604,0.5596350485561654,1.6623125826340222,0.08557072883187604,0.08557072883187604,0.5596350485561654,0.5596350485561654,1.6623125826340222,1.6623125826340222,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_low} -> {cluster_3_high_exposure}",356255,30485,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, bureau_debt_low} -> {credit_large}",0.075263505073613,0.49222550621408767,1.5284655682684243,0.075263505073613,0.075263505073613,0.49222550621408767,0.49222550621408767,1.5284655682684245,1.5284655682684245,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_low} -> {credit_large}",356255,26813,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, bureau_debt_low} -> {external_score_strong}",0.06269385692832381,0.41001964275879793,1.2306772809543656,0.06269385692832381,0.06269385692832381,0.41001964275879793,0.41001964275879793,1.2306772809543656,1.2306772809543656,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_low} -> {external_score_strong}",356255,22335,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, bureau_debt_low} -> {income_q1}",0.06596117949221765,0.43138802709599244,1.3477163767776237,0.06596117949221765,0.06596117949221765,0.43138802709599244,0.43138802709599244,1.347716376777624,1.347716376777624,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_low} -> {income_q1}",356255,23499,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, bureau_debt_low} -> {leverage_3_to_6x}",0.07134496357945853,0.4665981311842564,1.2973177443967725,0.07134496357945853,0.07134496357945853,0.4665981311842564,0.4665981311842564,1.2973177443967725,1.2973177443967725,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_low} -> {leverage_3_to_6x}",356255,25417,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, bureau_debt_low} -> {leverage_over_6x}",0.05837672453719948,0.3817854717015769,2.3017156843742854,0.05837672453719948,0.05837672453719948,0.3817854717015769,0.3817854717015769,2.3017156843742854,2.3017156843742854,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_low} -> {leverage_over_6x}",356255,20797,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, bureau_debt_moderate} -> {cluster_3_high_exposure}",0.038896296192334145,0.5252444848760519,1.560160533942969,0.038896296192334145,0.038896296192334145,0.5252444848760519,0.5252444848760519,1.560160533942969,1.560160533942969,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_moderate} -> {cluster_3_high_exposure}",356255,13857,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, bureau_debt_moderate} -> {credit_file_established}",0.041012757715681185,0.5538245773633538,1.364170963608203,0.041012757715681185,0.041012757715681185,0.5538245773633538,0.5538245773633538,1.364170963608203,1.364170963608203,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_moderate} -> {credit_file_established}",356255,14611,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, bureau_debt_moderate} -> {credit_large}",0.03783525845251295,0.5109165340004549,1.5865052107622557,0.03783525845251295,0.03783525845251295,0.5109165340004549,0.5109165340004549,1.5865052107622557,1.5865052107622557,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_moderate} -> {credit_large}",356255,13479,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, bureau_debt_moderate} -> {income_q1}",0.03139605058174622,0.4239633083162763,1.3245205195357046,0.03139605058174622,0.03139605058174622,0.42396330831627627,0.42396330831627627,1.3245205195357046,1.3245205195357046,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_moderate} -> {income_q1}",356255,11185,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, bureau_debt_moderate} -> {leverage_3_to_6x}",0.034916001178930824,0.47149571677659013,1.3109348685749393,0.034916001178930824,0.034916001178930824,0.47149571677659013,0.47149571677659013,1.3109348685749393,1.3109348685749393,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_moderate} -> {leverage_3_to_6x}",356255,12439,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, bureau_debt_moderate} -> {leverage_over_6x}",0.03056237807188671,0.4127056326283072,2.4881277525214505,0.03056237807188671,0.03056237807188671,0.4127056326283072,0.4127056326283072,2.4881277525214505,2.4881277525214505,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_moderate} -> {leverage_over_6x}",356255,10888,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, bureau_debt_not_observed} -> {credit_file_none}",0.0477803820297259,1.0,7.062386012211561,0.0477803820297259,0.0477803820297259,1.0,1.0,7.062386012211561,7.062386012211561,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, bureau_debt_not_observed} -> {credit_file_none}",356255,17022,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, card_history_not_observed} -> {cluster_3_high_exposure}",0.13409496007073585,0.6375295263768967,1.893686530590238,0.13409496007073585,0.13409496007073585,0.6375295263768967,0.6375295263768967,1.8936865305902377,1.8936865305902377,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, card_history_not_observed} -> {cluster_3_high_exposure}",356255,47772,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, card_history_not_observed} -> {credit_large}",0.09835370731638854,0.46760439325797715,1.4520117418600573,0.09835370731638854,0.09835370731638854,0.46760439325797715,0.46760439325797715,1.4520117418600573,1.4520117418600573,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, card_history_not_observed} -> {credit_large}",356255,35039,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, card_history_not_observed} -> {income_q1}",0.09537550350170525,0.45344507760265834,1.4166256795956877,0.09537550350170523,0.09537550350170523,0.45344507760265834,0.45344507760265834,1.4166256795956877,1.4166256795956877,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, card_history_not_observed} -> {income_q1}",356255,33978,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
